DEFINE ALL TABLE TARGET,,,,,,,,,DEFINE ALL TABLE SOURCE - LOGIC TRANSFORMATION,
Table_Name,Business_Process,Fact_Type,Grain_Statement,Column_Name,Column_Type,Constraint,SCD_type,Note,Source_Table.Column,Transformation_Logic
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Loan_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã hồ sơ vay (SK_ID_CURR / SK_ID_PREV),application.SK_ID_CURR / previous_application.SK_ID_PREV,"COALESCE(CAST(SK_ID_PREV AS STRING), CAST(SK_ID_CURR AS STRING))"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,AMT_APPLICATION,"DECIMAL(18,2)",NULL,Fully Additive,Số tiền khách hàng đề nghị vay,previous_application.AMT_APPLICATION,"CAST(AMT_APPLICATION AS DECIMAL(18,2))"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,AMT_CREDIT,"DECIMAL(18,2)",NOT NULL,Fully Additive,Số tiền tín dụng được duyệt,application.AMT_CREDIT,"COALESCE(CAST(AMT_CREDIT AS DECIMAL(18,2)), 0.00)"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,AMT_ANNUITY,"DECIMAL(18,2)",NULL,Fully Additive,Số tiền phải thanh toán mỗi kỳ,application.AMT_ANNUITY,"CAST(AMT_ANNUITY AS DECIMAL(18,2))"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,AMT_GOODS_PRICE,"DECIMAL(18,2)",NULL,Fully Additive,Giá trị hàng hóa mua trả góp,application.AMT_GOODS_PRICE,"CAST(AMT_GOODS_PRICE AS DECIMAL(18,2))"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,TARGET,TINYINT,NULL,Non-additive,Cờ khách hàng gặp khó khăn trả nợ (0/1),application.TARGET,CAST(TARGET AS SMALLINT)
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,Bureau_Credit_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,F.abs(F.hash(F.col('SK_ID_BUREAU')))
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,Customer_SK,BIGINT,NOT NULL (FK),-,Nối tới Dim_Customer.Customer_SK,bureau.SK_ID_CURR,Lookup Dim_Customer qua SK_ID_CURR. Nếu NULL gán -1
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,Credit_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Ngày mở khoản tín dụng),bureau.DAYS_CREDIT,"date_format(date_add('2020-01-01', DAYS_CREDIT), 'yyyyMMdd') CAST AS INT"
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,Bureau_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã khoản vay CIC (SK_BUREAU_ID),bureau.SK_ID_BUREAU,CAST(SK_ID_BUREAU AS STRING)
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,CREDIT_ACTIVE,VARCHAR(50),NOT NULL,Type 1 / Dim,Trạng thái hoạt động (Active / Closed),bureau.CREDIT_ACTIVE,"COALESCE(TRIM(CREDIT_ACTIVE), 'Unknown')"
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,CREDIT_TYPE,VARCHAR(100),NOT NULL,Type 1 / Dim,"Loại tín dụng (Consumer, Mortgage...)",bureau.CREDIT_TYPE,"COALESCE(TRIM(CREDIT_TYPE), 'Unknown')"
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,AMT_CREDIT_SUM,"DECIMAL(18,2)",NULL,Fully Additive,Tổng hạn mức tín dụng ngoài,bureau.AMT_CREDIT_SUM,"CAST(AMT_CREDIT_SUM AS DECIMAL(18,2))"
Fact_Bureau_Credit,PRC_05,Periodic Fact,Mỗi dòng đại diện cho theo dõi các khoản vay ngoài tổ chức do CIC cung cấp,AMT_CREDIT_MAX_OVERDUE,"DECIMAL(18,2)",NULL,Fully Additive,Số tiền quá hạn lớn nhất,bureau.AMT_CREDIT_MAX_OVERDUE,"CAST(AMT_CREDIT_MAX_OVERDUE AS DECIMAL(18,2))"
Fact_Bureau_Monthly_Snapshot,PRC_05,Transaction Fact,Mỗi dòng đại diện cho theo dõi trạng thái khoản vay ngoài tổ chức do CIC cung cấp,Bureau_Snapshot_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,"F.abs(F.hash(F.concat_ws('_', F.col('SK_BUREAU_ID'), F.col('MONTHS_BALANCE'))))"
Fact_Bureau_Monthly_Snapshot,PRC_05,Transaction Fact,Mỗi dòng đại diện cho theo dõi trạng thái khoản vay ngoài tổ chức do CIC cung cấp,Month_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Tháng báo cáo),bureau_balance.MONTHS_BALANCE,Quy đổi MONTHS_BALANCE thành YYYYMMDD cuối tháng
Fact_Bureau_Monthly_Snapshot,PRC_05,Transaction Fact,Mỗi dòng đại diện cho theo dõi trạng thái khoản vay ngoài tổ chức do CIC cung cấp,Bureau_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã khoản vay CIC (SK_BUREAU_ID),bureau_balance.SK_BUREAU_ID,CAST(SK_BUREAU_ID AS STRING)
Fact_Bureau_Monthly_Snapshot,PRC_05,Transaction Fact,Mỗi dòng đại diện cho theo dõi trạng thái khoản vay ngoài tổ chức do CIC cung cấp,STATUS_CODE,CHAR(2),NOT NULL,Status Flag,"Trạng thái nợ (C: closed, 0: chuẩn, 1-5: nợ xấu)",bureau_balance.STATUS,"COALESCE(TRIM(STATUS), 'X')"
Fact_Bureau_Monthly_Snapshot,PRC_05,Transaction Fact,Mỗi dòng đại diện cho theo dõi trạng thái khoản vay ngoài tổ chức do CIC cung cấp,MONTHS_BALANCE,SMALLINT,NOT NULL,Relative Month,"Tháng tương đối (-1, -2...)",bureau_balance.MONTHS_BALANCE,CAST(MONTHS_BALANCE AS SMALLINT)
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,Bureau_Credit_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,"F.abs(F.hash(F.concat_ws('_', F.col('SK_ID_PREV'), F.col('MONTHS_BALANCE'))))"
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,Customer_SK,BIGINT,NOT NULL (FK),-,Nối tới Dim_Customer.Customer_SK,credit_card_balance.SK_ID_CURR,Lookup Dim_Customer qua SK_ID_CURR. Nếu NULL gán -1
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,Credit_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Ngày mở khoản tín dụng),credit_card_balance.MONTHS_BALANCE,"Quy đổi MONTHS_BALANCE (-1, -2) thành ngày cuối tháng tương ứng định dạng YYYYMMDD"
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,Bureau_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã khoản vay CIC (SK_BUREAU_ID),Derived,Lookup Dim_Contract_Type với mã 'Revolving loans'
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,AMT_BALANCE,"DECIMAL(18,2)",VARCHAR(50),NOT NULL,Type 1 / Dim,credit_card_balance.SK_ID_PREV,CAST(SK_ID_PREV AS STRING)
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,AMT_CREDIT_LIMIT_ACTUAL,"DECIMAL(18,2)",NULL,,Hạn mức thẻ.,credit_card_balance.AMT_BALANCE,"COALESCE(CAST(AMT_BALANCE AS DECIMAL(18,2)), 0.00)"
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,AMT_PAYMENT_TOTAL_CURRENT,"DECIMAL(18,2)",NULL,Fully Additive,Tổng hạn mức tín dụng ngoài,credit_card_balance.AMT_CREDIT_LIMIT_ACTUAL,"CAST(AMT_CREDIT_LIMIT_ACTUAL AS DECIMAL(18,2))"
Fact_Credit_Balance,PRC_04,Periodic Snapshot Fact,Mỗi dòng đại diện theo dõi số dư nợ và hạn mức thẻ tín dụng định kỳ cuối tháng,Contract_Type_SK,INT,NOT NULL (FK),Type 1,Số tiền quá hạn lớn nhất,credit_card_balance.AMT_PAYMENT_TOTAL_CURRENT,"COALESCE(CAST(AMT_PAYMENT_TOTAL_CURRENT AS DECIMAL(18,2)), 0.00)"
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,Pos_Cash_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,"F.abs(F.hash(F.concat_ws('_', F.col('SK_ID_PREV'), F.col('MONTHS_BALANCE'))))"
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,Customer_SK,BIGINT,NOT NULL (FK),-,Nối tới Dim_Customer.Customer_SK,POS_CASH_balance.SK_ID_CURR,Lookup Dim_Customer qua SK_ID_CURR. Nếu NULL gán -1
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,Month_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Ngày cuối tháng),POS_CASH_balance.MONTHS_BALANCE,Quy đổi MONTHS_BALANCE thành YYYYMMDD cuối tháng
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,Contract_Type_SK,INT,NOT NULL (FK),-,Nối tới Dim_Contract_Type,Derived,Lookup Dim_Contract_Type với mã 'Cash loans'
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,Loan_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã hợp đồng POS/Cash (SK_ID_PREV),POS_CASH_balance.SK_ID_PREV,CAST(SK_ID_PREV AS STRING)
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,CNT_INSTALMENT,SMALLINT,NULL,Semi-additive,Số kỳ vay được duyệt,POS_CASH_balance.CNT_INSTALMENT,CAST(CNT_INSTALMENT AS SMALLINT)
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,CNT_INSTALMENT_FUTURE,SMALLINT,NULL,Semi-additive,Số kỳ trả góp còn lại,POS_CASH_balance.CNT_INSTALMENT_FUTURE,CAST(CNT_INSTALMENT_FUTURE AS SMALLINT)
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,SK_DPD,INT,NOT NULL,Semi-additive,Số ngày quá hạn (Days Past Due),POS_CASH_balance.SK_DPD,"COALESCE(CAST(SK_DPD AS INT), 0)"
Fact_POS_CASH_balance,PRC_03,Periodic Snapshot Fact,Dư nợ trả góp hàng tháng,SK_DPD_DEF,INT,NOT NULL,Semi-additive,Số ngày quá hạn với khoản nợ có bảo lãnh,POS_CASH_balance.SK_DPD_DEF,"COALESCE(CAST(SK_DPD_DEF AS INT), 0)"
